TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
13	10	-1	43		9	waiting
13	14	-1	61		9	waiting
13	16	-1	40		9	waiting
Wasted Space: 272 MB
Jobs Waiting: 4

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
14	6	-1	39		0	finished
14	9	-1	62		0	finished
14	15	-1	17		0	finished
14	19	-1	61		0	finished
14	0	-1	53		0	finished
14	4	-1	46		0	finished
14	11	-1	26		0	finished
14	3	-1	58		0	finished
14	1	-1	29		0	finished
14	8	-1	46		0	finished
14	12	-1	34		0	finished
14	13	-1	25		0	finished
14	17	2	21		1	running
14	18	6	28		3	running
14	5	5	17		4	running
14	2	-1	61		8	waiting
14	7	8	45		6	running
14	10	-1	43		9	waiting
14	14	-1	61		9	waiting
14	16	-1	40		9	waiting
Wasted Space: 272 MB
Jobs Waiting: 4

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
15	6	-1	39		0	finished
15	9	-1	62		0	finished
15	15	-1	17		0	finished
15	19	-1	61		0	finished
15	0	-1	53		0	finished
15	4	-1	46		0	finished
15	11	-1	26		0	finished
15	3	-1	58		0	finished
15	1	-1	29		0	finished
15	8	-1	46		0	finished
15	12	-1	34		0	finished
15	13	-1	25		0	finished
15	17	-1	21		0	finished
15	18	6	28		2	running
15	5	5	17		3	running
15	2	-1	61		8	waiting
15	7	8	45		5	running
15	10	-1	43		9	waiting
15	14	-1	61		9	waiting
15	16	-1	40		9	waiting
Wasted Space: 293 MB
Jobs Waiting: 4

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
16	6	-1	39		0	finished
16	9	-1	62		0	finished
16	15	-1	17		0	finished
16	19	-1	61		0	finished
16	0	-1	53		0	finished
16	4	-1	46		0	finished
16	11	-1	26		0	finished
16	3	-1	58		0	finished
16	1	-1	29		0	finished
16	8	-1	46		0	finished
16	12	-1	34		0	finished
16	13	-1	25		0	finished
16	17	-1	21		0	finished
16	18	6	28		1	running
16	5	5	17		2	running
16	2	-1	61		8	waiting
16	7	8	45		4	running
16	10	-1	43		9	waiting
16	14	-1	61		9	waiting
16	16	-1	40		9	waiting
Wasted Space: 293 MB
Jobs Waiting: 4

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
17	6	-1	39		0	finished
17	9	-1	62		0	finished
17	15	-1	17		0	finished
17	19	-1	61		0	finished
17	0	-1	53		0	finished
17	4	-1	46		0	finished
17	11	-1	26		0	finished
17	3	-1	58		0	finished
17	1	-1	29		0	finished
17	8	-1	46		0	finished
17	12	-1	34		0	finished
17	13	-1	25		0	finished
17	17	-1	21		0	finished
17	18	-1	28		0	finished
17	5	5	17		1	running
17	2	-1	61		8	waiting
17	7	8	45		3	running
17	10	-1	43		9	waiting
17	14	-1	61		9	waiting
17	16	-1	40		9	waiting
Wasted Space: 321 MB
Jobs Waiting: 4

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
18	6	-1	39		0	finished
18	9	-1	62		0	finished
18	15	-1	17		0	finished
18	19	-1	61		0	finished
18	0	-1	53		0	finished
18	4	-1	46		0	finished
18	11	-1	26		0	finished
18	3	-1	58		0	finished
18	1	-1	29		0	finished
18	8	-1	46		0	finished
18	12	-1	34		0	finished
18	13	-1	25		0	finished
18	17	-1	21		0	finished
18	18	-1	28		0	finished
18	5	-1	17		0	finished
18	2	-1	61		8	waiting
18	7	8	45		2	running
18	10	-1	43		9	waiting
18	14	-1	61		9	waiting
18	16	-1	40		9	waiting
Wasted Space: 338 MB
Jobs Waiting: 4

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
19	6	-1	39		0	finished
19	9	-1	62		0	finished
19	15	-1	17		0	finished
19	19	-1	61		0	finished
19	0	-1	53		0	finished
19	4	-1	46		0	finished
19	11	-1	26		0	finished
19	3	-1	58		0	finished
19	1	-1	29		0	finished
19	8	-1	46		0	finished
19	12	-1	34		0	finished
19	13	-1	25		0	finished
19	17	-1	21		0	finished
19	18	-1	28		0	finished
19	5	-1	17		0	finished
19	2	-1	61		8	waiting
19	7	8	45		1	running
19	10	-1	43		9	waiting
19	14	-1	61		9	waiting
19	16	-1	40		9	waiting
Wasted Space: 338 MB
Jobs Waiting: 4

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
20	6	-1	39		0	finished
20	9	-1	62		0	finished
20	15	-1	17		0	finished
20	19	-1	61		0	finished
20	0	-1	53		0	finished
20	4	-1	46		0	finished
20	11	-1	26		0	finished
20	3	-1	58		0	finished
20	1	-1	29		0	finished
20	8	-1	46		0	finished
20	12	-1	34		0	finished
20	13	-1	25		0	finished
20	17	-1	21		0	finished
20	18	-1	28		0	finished
20	5	-1	17		0	finished
20	2	-1	61		8	waiting
20	7	-1	45		0	finished
20	10	-1	43		9	waiting
20	14	-1	61		9	waiting
20	16	-1	40		9	waiting
Wasted Space: 383 MB
Jobs Waiting: 4

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
21	6	-1	39		0	finished
21	9	-1	62		0	finished
21	15	-1	17		0	finished
21	19	-1	61		0	finished
21	0	-1	53		0	finished
21	4	-1	46		0	finished
21	11	-1	26		0	finished
21	3	-1	58		0	finished
21	1	-1	29		0	finished
21	8	-1	46		0	finished
21	12	-1	34		0	finished
21	13	-1	25		0	finished
21	17	-1	21		0	finished
21	18	-1	28		0	finished
21	5	-1	17		0	finished
21	2	4	61		7	running
21	7	-1	45		0	finished
21	10	1	43		8	running
21	14	7	61		8	running
21	16	5	40		8	running
Wasted Space: 178 MB
Jobs Waiting: 0

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
22	6	-1	39		0	finished
22	9	-1	62		0	finished
22	15	-1	17		0	finished
22	19	-1	61		0	finished
22	0	-1	53		0	finished
22	4	-1	46		0	finished
22	11	-1	26		0	finished
22	3	-1	58		0	finished
22	1	-1	29		0	finished
22	8	-1	46		0	finished
22	12	-1	34		0	finished
22	13	-1	25		0	finished
22	17	-1	21		0	finished
22	18	-1	28		0	finished
22	5	-1	17		0	finished
22	2	4	61		6	running
22	7	-1	45		0	finished
22	10	1	43		7	running
22	14	7	61		7	running
22	16	5	40		7	running
Wasted Space: 178 MB
Jobs Waiting: 0

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
23	6	-1	39		0	finished
23	9	-1	62		0	finished
23	15	-1	17		0	finished
23	19	-1	61		0	finished
23	0	-1	53		0	finished
23	4	-1	46		0	finished
23	11	-1	26		0	finished
23	3	-1	58		0	finished
23	1	-1	29		0	finished
23	8	-1	46		0	finished
