TIME	ID	SEGMENT	MEM REQUEST	TIME REMAINING	MESSAGES
13	6	6	25	2	running
13	7	-1	45	7	waiting
13	8	-1	53	7	waiting
13	9	-1	63	4	waiting
13	10	-1	22	6	waiting
13	11	-1	44	8	waiting
13	12	-1	28	5	waiting
13	13	-1	51	7	waiting
13	14	-1	18	4	waiting
13	15	-1	62	9	waiting
13	16	-1	54	3	waiting
13	17	-1	22	4	waiting
13	18	-1	21	6	waiting
13	19	-1	38	7	waiting
Wasted Space: 170 MB
Jobs Waiting: 13

14	0	9	21	-18	running
14	1	8	27	-3	running
14	2	4	48	0	finished
14	3	7	54	2	running
14	4	5	42	0	finished
14	5	8	47	0	finished
14	6	6	25	2	running
14	7	-1	45	7	waiting
14	8	-1	53	7	waiting
14	9	-1	63	4	waiting
14	10	-1	22	6	waiting
14	11	-1	44	8	waiting
14	12	-1	28	5	waiting
14	13	-1	51	7	waiting
14	14	-1	18	4	waiting
14	15	-1	62	9	waiting
14	16	-1	54	3	waiting
14	17	-1	22	4	waiting
14	18	-1	21	6	waiting
14	19	-1	38	7	waiting
Wasted Space: 170 MB
Jobs Waiting: 13

14	0	9	21	-18	running
14	1	8	27	-3	running
14	2	4	48	0	finished
14	3	7	54	2	running
14	4	5	42	0	finished
14	5	8	47	0	finished
14	6	6	25	2	running
14	7	-1	45	7	waiting
14	8	-1	53	7	waiting
14	9	-1	63	4	waiting
14	10	-1	22	6	waiting
14	11	-1	44	8	waiting
14	12	-1	28	5	waiting
14	13	-1	51	7	waiting
14	14	-1	18	4	waiting
14	15	-1	62	9	waiting
14	16	-1	54	3	waiting
14	17	-1	22	4	waiting
14	18	-1	21	6	waiting
14	19	-1	38	7	waiting
Wasted Space: 170 MB
Jobs Waiting: 13

15	0	9	21	-19	running
15	1	8	27	-4	running
15	2	4	48	0	finished
15	3	7	54	2	running
15	4	5	42	0	finished
15	5	8	47	0	finished
15	6	6	25	0	finished
15	7	-1	45	7	waiting
15	8	-1	53	7	waiting
15	9	-1	63	4	waiting
15	10	-1	22	6	waiting
15	11	-1	44	8	waiting
15	12	-1	28	5	waiting
15	13	-1	51	7	waiting
15	14	-1	18	4	waiting
15	15	-1	62	9	waiting
15	16	-1	54	3	waiting
15	17	-1	22	4	waiting
15	18	-1	21	6	waiting
15	19	-1	38	7	waiting
Wasted Space: 195 MB
Jobs Waiting: 13

15	0	6	21	-19	running
15	1	8	27	-4	running
15	2	4	48	0	finished
15	3	7	54	2	running
15	4	5	42	0	finished
15	5	8	47	0	finished
15	6	6	25	0	finished
15	7	-1	45	7	waiting
15	8	-1	53	7	waiting
15	9	-1	63	4	waiting
15	10	-1	22	6	waiting
15	11	-1	44	8	waiting
15	12	-1	28	5	waiting
15	13	-1	51	7	waiting
15	14	-1	18	4	waiting
15	15	-1	62	9	waiting
15	16	-1	54	3	waiting
15	17	-1	22	4	waiting
15	18	-1	21	6	waiting
15	19	-1	38	7	waiting
Wasted Space: 174 MB
Jobs Waiting: 13

16	0	6	21	-23	running
16	1	8	27	-4	running
16	2	4	48	0	finished
16	3	7	54	2	running
16	4	5	42	0	finished
16	5	8	47	0	finished
16	6	6	25	0	finished
16	7	-1	45	7	waiting
16	8	-1	53	7	waiting
16	9	-1	63	4	waiting
16	10	-1	22	6	waiting
16	11	-1	44	8	waiting
16	12	-1	28	5	waiting
16	13	-1	51	7	waiting
16	14	-1	18	4	waiting
16	15	-1	62	9	waiting
16	16	-1	54	3	waiting
16	17	-1	22	4	waiting
16	18	-1	21	6	waiting
16	19	-1	38	7	waiting
Wasted Space: 174 MB
Jobs Waiting: 13

16	0	6	21	-23	running
16	1	8	27	-4	running
16	2	4	48	0	finished
16	3	7	54	2	running
16	4	5	42	0	finished
16	5	8	47	0	finished
16	6	6	25	0	finished
16	7	-1	45	7	waiting
16	8	-1	53	7	waiting
16	9	-1	63	4	waiting
16	10	-1	22	6	waiting
16	11	-1	44	8	waiting
16	12	-1	28	5	waiting
16	13	-1	51	7	waiting
16	14	-1	18	4	waiting
16	15	-1	62	9	waiting
16	16	-1	54	3	waiting
16	17	-1	22	4	waiting
16	18	-1	21	6	waiting
16	19	-1	38	7	waiting
Wasted Space: 174 MB
Jobs Waiting: 13

17	0	6	21	-27	running
17	1	8	27	-4	running
17	2	4	48	0	finished
17	3	7	54	2	running
17	4	5	42	0	finished
17	5	8	47	0	finished
17	6	6	25	0	finished
17	7	-1	45	7	waiting
17	8	-1	53	7	waiting
17	9	-1	63	4	waiting
17	10	-1	22	6	waiting
17	11	-1	44	8	waiting
17	12	-1	28	5	waiting
17	13	-1	51	7	waiting
17	14	-1	18	4	waiting
17	15	-1	62	9	waiting
17	16	-1	54	3	waiting
17	17	-1	22	4	waiting
17	18	-1	21	6	waiting
17	19	-1	38	7	waiting
Wasted Space: 174 MB
Jobs Waiting: 13

17	0	6	21	-27	running
17	1	8	27	-4	running
17	2	4	48	0	finished
17	3	7	54	2	running
17	4	5	42	0	finished
17	5	8	47	0	fin
